rank,asin,mentions,sum_upvotes,in_registry,amazon_url,sample_comment,product_name,price,image_url,tier,notes
1,B0CTQDTZ1L,1,3,,https://www.amazon.com/dp/B0CTQDTZ1L?tag=trailsteadgui-20&ascsubtag=research,I absolutely loved it. Especially in the cold. I used it when the temperature was about 15 out and I was comfortable in shorts and a hoodie inside. It was far more comfortable than sleeping on a pad o,,,,,
2,B0899ZWR4Z,1,2,,https://www.amazon.com/dp/B0899ZWR4Z?tag=trailsteadgui-20&ascsubtag=research,You've made my day man. I spent a good chunk of time putting this together. * The stove is a [Fire Maple GreenPeak ](https://firemaplegear.com/collections/canister-stoves/products/fms-119). Under $20,,,,,
3,B0D5YHQS74,1,2,,https://www.amazon.com/dp/B0D5YHQS74?tag=trailsteadgui-20&ascsubtag=research,You've made my day man. I spent a good chunk of time putting this together. * The stove is a [Fire Maple GreenPeak ](https://firemaplegear.com/collections/canister-stoves/products/fms-119). Under $20,,,,,
4,B0CRYNPH7T,1,2,,https://www.amazon.com/dp/B0CRYNPH7T?tag=trailsteadgui-20&ascsubtag=research,My Nightcat cot and tent system weigh 12 pounds... and without the legs weighs a lot less. It's awesome. https://www.amazon.com/Night-Cat-Camping-Cot-Tent/dp/B0CRYNPH7T/ref=asc_df_B0CRYNPH7T?mcid=,,,,,
